Country,ISO3.Code,LAT,LON,Value.import.1992,Value.import.1993,Value.import.1994,Value.import.1995,Value.import.1996,Value.import.1997,Value.import.1998,Value.import.1999,Value.import.2000,Value.import.2001,Value.import.2002,Value.import.2003,Value.import.2004,Value.import.2005,Value.import.2006,Value.import.2007,Value.import.2008,Value.import.2009,Value.import.2010,Value.import.2011,Value.import.2012,Value.import.2013
China,CPR,36.6094323800447,103.865365256658,12144550,7780977,8824585,13210602,9798063,3473628,3094374,2061534,2614790,2280925,2312056,2219919,8912624,5414358,2186639,2060394,1663820,2711599,2991390,3280209,5761499,7572416
India,IND,22.9250064074085,79.5937037632538,1364229,242539,1904,10912,618823,1491042,1815303,1375875,13696,10308,47884,47133,113813,47052,6092581,2690288,13711,180396,198805,16770,14630,26874
United States of America,USA,39.5015541259931,-99.0602406280213,2058839,2503763,3466270,2577928,2255949,3196547,3115940,3371001,3105517,3449098,3426619,2647173,2744203,2997508,3808579,4136798,4254932,4312715,4334865,3945395,4508088,5491059
Russian Federation,RUS,61.6925647074082,99.2165267869251,19193211,6474498,2711761,2756765,3654662,3446189,1922151,4798064,2896512,1142192,800889,815994,2075284,965055,1651807,722799,438092,300294,327738,449698,720013,1360306
France,FRA,46.6064633728632,2.33908864602935,913291,1141526,1329477,1161064,1374800,1569816,1614304,1554650,1641008,1925656,1752807,1464765,1561487,1539597,1672537,1852516,1997898,1859813,2397427,2063412,1973617,2054839
Canada,CAN,57.7487688035733,-101.569822125212,301310,313614,368389,361334,402291,403982,471456,436309,470226,502630,459819,489268,471889,502508,547645,695910,820132,933577,990396,930750,1270693,817569
Germany,DEU,51.1337226904078,10.2884850927429,1761663,2097199,2048309,1922268,2130641,1630857,1684002,2044348,2122341,2045296,2610119,2719800,2248169,2767632,3069656,3347601,3886542,5419169,5432163,5983323,5095289,5421139
Australia,AUS,-25.5607640622395,134.376078573618,40457,44495,41342,58246,56734,59889,60654,81783,95911,96756,96847,409495,125163,141030,158577,181474,194601,195894,194670,211609,212360,282530
Pakistan,PAK,29.9734600255474,69.4139980631813,2018221,2890258,1901648,2705972,1968219,2500385,2523855,3239849,1048428,149332,267467,149514,108954,1447052,872893,138664,1834619,3104346,202687,63099,97483,420513
Turkey,TUR,38.990729727953,35.3921024579343,62752,1224249,497432,1255163,2151118,2559596,1728961,1621258,974536,353615,1104617,1846350,1076411,148287,255242,2164982,3729614,3419685,2581512,4784544,3752505,4092091
Ukraine,UKR,48.9730179682021,31.3695330803563,1180051,1595641,519024,261608,86218,50623,16773,44567,826572,325987,19994,3278154,640283,54563,40454,86396,64506,29866,43725,75845,89451,117342
United Kingdom,GBR,53.8833587148482,-2.65799297938563,1611462,1944556,1525051,1275960,1097906,1686418,1888268,1827977,1832801,2040167,2167102,1959590,1751779,2185352,1991734,2268540,2350037,2507554,2273146,2005545,3006842,4354341
Argentina,ARG,-35.2201719959357,-65.149543390921,28438,22120,48820,60421,37853,38492,29937,28865,20459,25271,3847,8338,8021,6189,9398,8400,7547,10365,8043,7036,5289,3894
Kazakhstan,KAZ,48.1916620924959,67.2846086074656,255256,16667,27040,30905,33041,41914,34638,44038,48457,44330,58041,65482,110600,110338,154607,149319,147416,192338,75047,164324,166907,154636
Iran (Islamic Republic of),IRN,32.5189173176254,54.2854514968914,2453269,2449519,2329911,3112941,3948118,5955492,3535263,6155942,6577907,6438974,4122247,1156752,222421,117057,1100422,251007,3733749,5461694,1407755,75268,5447652,4389865
Poland,POL,52.1482602193319,19.3110143084487,699008,955732,253329,1033073,2223257,714003,707908,242314,801834,377849,298214,166752,347417,413787,761427,1384148,1403388,919738,1018237,1183451,1115209,1037026
Italy,ITA,43.472476107586,12.2194764873985,6456300,5181157,5069064,5253501,6569780,7176117,7107175,6209016,7159827,7795620,8004134,7290571,6798099,7119964,7497573,6622813,5884684,6852662,7950647,7816245,6681647,6324277
Egypt,EGY,26.5066199997495,29.8444615131244,5639509,4926266,7064116,5424146,6077957,6981121,5601874,4331502,4934590,4449458,5589036,4064476,4374755,5785321,8023799,8251370,8335380,9129845,10607437,9836277,8268894,10330935
Spain,ESP,40.3486561062267,-3.61702060238737,1505065,2018028,2204899,2969050,2293159,3157720,3481109,3415666,2689359,4230002,6634842,4128654,4651266,7839584,5833437,4124782,5338059,7163117,5036926,4795987,6049063,3931305
Romania,ROU,45.857101035738,24.9432524946354,1219599,1308305,99877,223852,53073,110616,135750,55262,359431,448033,247339,1917102,917993,218192,150619,728572,618970,807971,914127,852268,803681,987515
Morocco,MAR,29.8853946983021,-8.42047954454964,2471211,2720387,1215733,2585308,2246942,2060843,2588207,2824042,3452959,3388864,3335132,2156486,2664496,2658406,1859737,3721303,4109231,2418801,3269112,3682681,4116746,2761993
Brazil,BRA,-10.8067736434989,-53.0543400357671,4443602,5683598,6341977,6348692,7931141,5476904,6915618,7209420,7854196,7299579,6758195,6691784,4941061,5079332,6765193,7566425,7036475,6381226,7269587,6789920,7547189,7629869
Mexico,MEX,23.9353719022448,-102.576349523987,1214912,1846533,1524946,1273275,2091815,1916824,2602444,2766561,2896364,3499976,3283407,3663490,3767392,3904392,3647475,3469647,3418927,2954978,3710157,4297433,4909838,4439074
Algeria,DZA,28.1854812786575,2.59804779161835,3925657,4136252,5169810,4994754,3137639,4796509,3942445,4383641,5378560,4561406,6037184,5203259,5123204,5697401,4986841,4884848,6508380,5757482,5108578,7486774,6385457,6343200
Iraq,IRQ,33.0368223410367,43.7569114187134,1564914,745612,754771,835138,547147,2000808,2332547,1850777,3198178,3032336,2431683,1947539,2863351,4075568,4076052,3166569,3648972,4175632,3250020,4087013,3666405,3606552
Belgium,BEL,50.6524426064521,4.5808315906517,2522267,2522323,2297486,3113025,3243048,3314912,3428019,3878439,4347244,3984828,4385230,4337726,3966904,4376623,4401776,4389632,4126405,4684348,4886833,4579213,5227526,4730492
Netherlands,NLD,52.2987003744418,5.5122171009654,1986939,2318203,3097766,2930701,3437039,2943825,3162937,3746648,2878331,3874174,4455824,4160200,4134815,3972853,4731853,5751756,5272925,6088286,6445521,5150411,5036188,4719926
Japan,JPN,36.019075365944,136.881947315984,6070898,5913637,6470629,6103043,6075777,6469844,5923108,6148674,6044344,5727186,6104462,5506731,5770567,5764238,5639150,5573673,6085782,4982112,5770308,6541489,6313752,6519950
Nigeria,NGA,9.54831841820997,7.99512775408979,725387,1310572,834206,730500,916842,1193269,1548238,1604423,2229547,2221606,2404656,2230996,2612959,3729746,3247604,3008104,3082798,3808853,3980285,4054295,2874973,3710946
Republic of Korea,KOR,36.4275986041549,127.821317128331,3580081,4979667,6104211,2391922,2282208,3378551,4742278,4250059,3420726,3732587,3979047,3885607,3501681,3815395,3703932,3420445,2891648,4046354,4633909,4874755,5870567,4906257
Indonesia,IDN,-0.254301557222141,114.022683532525,2515981,2592338,3338731,4282743,4157396,3652309,3477031,3250746,4257478,3102473,4808710,4008213,5007896,5131389,5375933,5499328,5280241,5574588,5924186,6589987,6967946,7073657
Philippines,PHL,15.7509443494214,121.54444242782,1803822,1841926,2227446,2161195,1979831,2463382,1912775,2078771,2716280,2959070,3171710,2791558,2236018,2122257,2885775,1986594,1817581,3252135,2074846,3014443,3346915,2803218

