Country,ISO3.Code,LAT,LON,Value.Stock.1991,Value.Stock.1992,Value.Stock.1993,Value.Stock.1994,Value.Stock.1995,Value.Stock.1996,Value.Stock.1997,Value.Stock.1998,Value.Stock.1999,Value.Stock.2000,Value.Stock.2001,Value.Stock.2002,Value.Stock.2003,Value.Stock.2004,Value.Stock.2005,Value.Stock.2006,Value.Stock.2007,Value.Stock.2008,Value.Stock.2009,Value.Stock.2010,Value.Stock.2011,Value.Stock.2012,Value.Stock.2013
Eastern Africa,ETH,8.65399918813263,39.5512557929378,22291,134876,-118254,-332223,181737,-164018,188175,-211610,62793,-215811,-139042,334487,-464499,263449,-146721,-271551,141448,273613,-975182,-642364,-1272026,-842641,-347425
Middle Africa,AGO,-12.2915534387057,17.5029119215871,3734,-17276,19584,-51779,16322,83711,43979,-60827,-9541,-71396,22362,-99078,-73061,-86394,-78879,-141226,146487,-2220,-27809,62826,-64764,-20818,-103224
Northern Africa,EGY,26.5066199997495,29.8444615131244,-2600529,936089,2572841,-888333,1805654,-2162579,1649160,-1264039,2187675,1083026,1077597,-1176237,-1512669,-2191941,-1422564,-2566666,1244855,-18516,-2438983,-215760,-2620052,573945,-352500
Southern Africa,ZAF,-28.9621061911244,25.1173962123943,-679850,542953,-487790,100360,-106146,-1003450,25650,472500,723392,-74067,547183,-244812,429050,53000,-86625,74425,158800,-278000,-3500,429733,-523502,-189253,399022
Western Africa,NGA,9.54831841820997,7.99512775408979,-90023,11197,18611,78658,-95965,39246,-45053,-507210,51932,-21528,114389,-70265,74108,196943,-75427,-149984,63725,171030,-82485,-79185,84646,-112669,-138721
Northern America,CAN,57.7487688035733,-101.569822125212,-1655867,1363836,-21408,6336119,-103341,-4940980,2039270,1789514,-2315623,-101634,4531292,4617717,-3660524,-301570,-3448909,1449109,3914557,-6339092,-450825,1389840,-1316759,-1557443,-9262109
Central America,MEX,23.9353719022448,-102.576349523987,-232567,27790,-244759,-506938,618148,-44294,88892,-206934,154947,58354,-33092,-32349,-37490,-95574,6879,96699,52817,40432,-22888,3712,-2364,15687,5435
Caribbean,CUB,21.6317515410252,-78.9606849097026,39787,-58043,11676,115789,52033,56714,-81956,-50100,-76508,-81146,-114720,73222,17403,121864,-97233,-3262,20839,-23684,-36278,3335,-23614,9486,-21656
South America,BRA,-10.8067736434989,-53.0543400357671,851871,744355,968213,-1410755,3821870,-9612166,533720,3145847,-1581460,-394201,-181356,1344426,-5924154,-535269,4051662,2043778,-1736961,5011701,2888924,-5754100,680224,12672742,-2129962
Central Asia,UZB,41.7486026646522,63.2036395282317,2548715,-9586408,-324145,374230,3629871,1416061,1315627,2780233,-3547610,1198367,-4059269,-2374456,946130,332062,-1218304,-759568,-1120971,965284,-3484227,5532531,-8533555,6717452,65585
Eastern Asia,JPN,36.019075365944,136.881947315984,-767032,-212094,-568880,-1777519,1392150,674995,-374271,-413994,-670242,-649458,23496,-381885,-349772,-216876,177290,36971,533333,533160,2008682,716677,647005,-61318,-131120
Southern Asia,IRN,32.5189173176254,54.2854514968914,-470169,-7534,-260125,731671,-1444483,-302361,-430051,-815445,-151308,413587,-901709,-1475080,-1225967,978496,-645156,-615496,-2598288,3042710,-5978783,-1202791,4456319,-320524,-557751
South-Eastern Asia,IDN,-0.254301557222141,114.022683532525,49496,251474,-20680,-110577,41526,61480,-241289,1100389,39895,-1086789,315695,-1452286,494184,-1142248,-350695,-804256,-605494,936958,-33999,607514,-132492,-163125,506965
Western Asia,IRQ,33.0368223410367,43.7569114187134,18582,1137069,-4191626,3848291,1709044,-272959,-2823473,-4440798,659930,-909886,1716604,-896581,-12991,-1462462,-2322081,19442,341020,-1206686,-3142158,-26535,-6300404,-5535725,-4795746
Eastern Europe,POL,52.1482602193319,19.3110143084487,4510878,-590087,-9681450,4585381,1514176,2370954,-8268429,1490876,6381787,190923,-11046060,2190917,7034323,-10916823,-1553744,4286892,639351,-7427025,5153144,2772232,-6963433,6718917,-105293
Northern Europe,GBR,53.8833587148482,-2.65799297938563,136591,-319152,-312149,2365287,47698,-1209791,1144803,391302,1257338,-1056181,2708217,-1634673,2015418,-1333553,433710,580989,1116679,-2543181,199828,2579536,-367601,-11788,-172458
Southern Europe,ITA,43.472476107586,12.2194764873985,-2791104,759051,61003,-52783,-142481,-519073,520634,-2012014,653915,-1372170,323887,-4764616,1702401,-2619011,-1444987,-980519,949514,-1804389,-402893,234500,-23662,164545,1794420
Western Europe,NLD,52.2987003744418,5.5122171009654,-3896311,-594482,6245828,2008329,4276952,-4087384,-2956841,-6468146,-539936,571469,4172732,-3654562,4502582,-10652617,1338962,5879798,1023771,-1728047,-435874,-519733,2457014,-6263466,-1792097
Oceania,NZL,-43.9858177329728,170.513011374997,4680567,-2894776,-3035481,7165365,-4490403,-5400046,4369204,-2286317,-3316529,529826,-3869697,10226980,-10905881,2732088,-4363811,11650902,-227151,-5604349,-1267743,957111,-3783410,26729,1569688
Russian Federation,RUS,61.6925647074082,99.2165267869251,2877720,-2750000,-1992308,2487179,2064103,-12821,-10120513,9983333,0,94872,12821,-4989744,5028205,16667,12821,25641,-585897,-124359,-156410,410256,-7558974,8000000,-4500000
India,IND,22.9250064074085,79.5937037632538,3950000,1960000,1000000,0,-1000000,1000000,-5000000,0,-3000000,-1000000,5000000,4000000,9000000,940000,1015556,-1138222,-996333,2000000,-1500000,1550000,-4130000,-8713333,3333
Pakistan,PAK,29.9734600255474,69.4139980631813,-206219,-558247,-1012361,1682125,-1262032,-118262,841832,-637367,-253491,-788123,1445429,2313930,2192909,1222668,-1302136,554348,-992537,-469173,-3750296,-296234,2149454,1685508,667977
United States of America,USA,39.5015541259931,-99.0602406280213,8065848,-3937877,2560685,886401,5263913,2961095,-10511370,-6862786,-950994,1437546,3076793,9384903,-5192346,4768558,2160953,5343714,5788018,-7085151,-9527444,-4542359,7882623,-1184234,5284332
China,CPR,36.6094323800447,103.865365256658,-2972510,-2921749,-1179568,4888900,-920980,-5841435,-11797694,1673862,-1819289,11253188,16964713,18627544,22350948,5957903,3462191,-2685732,-1338381,-7713243,-9921963,-6108208,5723327,-337918,-1833905

